item,group,pass,own_exit_excess,final_target_exit3_excess,raw_excess,fit01_excess
confirmation-028,dg006,1,0.8238396624472574,-0.007383966244725738,0.0,-0.004219409282700422
confirmation-029,dg006,1,0.0,0.0,0.0,0.0
confirmation-030,dg006,1,0.9873417721518988,-0.007383966244725738,0.5,-0.0010548523206751054
confirmation-031,dg006,1,0.0,0.0,0.0,0.0
confirmation-032,dg006,1,0.0,0.0,0.0,0.0
confirmation-033,dg007,1,0.6666666666666666,0.5,0.0,0.0
confirmation-034,dg007,1,0.0,0.08333333333333333,0.0,0.0
confirmation-035,dg007,1,0.0,-0.004219409282700422,0.0,0.0
confirmation-036,dg007,1,0.3333333333333333,-0.007383966244725738,0.0,0.0
confirmation-037,dg007,1,0.0,-0.007383966244725738,0.0,0.0
confirmation-038,dg007,1,0.0,0.0,0.0,0.0
confirmation-039,dg007,1,0.5822784810126582,-0.004219409282700422,0.0,0.0
confirmation-040,dg007,1,0.9873417721518988,-0.010548523206751054,0.75,0.0
confirmation-041,dg007,1,0.3333333333333333,-0.006329113924050633,0.0,0.0
confirmation-042,dg007,1,0.0,-0.0010548523206751054,0.0,0.0
confirmation-043,dg007,1,0.0,-0.006329113924050633,0.0,0.0
confirmation-044,dg007,1,0.0,0.0,0.0,0.0
confirmation-045,dg007,1,0.5,-0.005274261603375527,0.0,0.0
confirmation-046,dg007,1,0.0,0.0,0.0,0.0
confirmation-047,dg007,1,-0.006329113924050633,-0.0031645569620253164,0.0,0.0
confirmation-048,dg007,1,0.0,-0.0010548523206751054,0.0,0.0
confirmation-049,dg008,1,0.8333333333333334,-0.007383966244725738,0.0,0.0
confirmation-050,dg008,1,0.0,-0.010548523206751054,-0.002109704641350211,0.0
confirmation-051,dg009,1,0.0,0.0,0.0,0.0
confirmation-052,dg009,1,0.0,-0.002109704641350211,0.0,0.0
confirmation-053,dg006,1,0.0,-0.004219409282700422,0.0,0.0
confirmation-054,dg006,1,-0.004219409282700422,0.0,0.0,0.0
confirmation-055,dg010,1,0.0,-0.007383966244725738,0.0,0.0
confirmation-056,dg010,1,0.0,-0.007383966244725738,0.0,-0.002109704641350211
confirmation-057,dg010,1,0.9166666666666666,-0.007383966244725738,0.9166666666666666,0.0
confirmation-058,dg010,1,-0.0010548523206751054,-0.006329113924050633,0.0,-0.006329113924050633
confirmation-059,dg006,1,0.0,-0.005274261603375527,0.0,0.0
confirmation-060,dg006,1,-0.004219409282700422,0.0,0.0,0.0
confirmation-061,dg010,1,-0.004219409282700422,-0.005274261603375527,0.0,-0.005274261603375527
confirmation-062,dg010,1,1.0,0.07278481012658228,0.0,0.0
confirmation-063,dg006,1,-0.005274261603375527,-0.005274261603375527,0.0,0.0
confirmation-064,dg006,1,-0.010548523206751054,-0.005274261603375527,-0.010548523206751054,0.0
confirmation-065,dg011,1,0.0,-0.0010548523206751054,0.0,-0.012658227848101266
confirmation-066,dg011,1,-0.004219409282700422,0.0,0.0,0.0
confirmation-067,dg011,1,0.0,0.0,0.0,-0.015822784810126583
confirmation-068,dg011,1,-0.0010548523206751054,0.0,0.0,0.0
confirmation-069,dg012,1,0.5833333333333334,-0.002109704641350211,0.0,0.0
confirmation-070,dg012,1,0.5812236286919832,-0.0010548523206751054,0.0,0.0
confirmation-071,dg013,1,-0.0010548523206751054,-0.004219409282700422,0.0,-0.020042194092827006
confirmation-072,dg013,1,0.0,0.0,0.0,0.0
confirmation-073,dg014,1,0.0,0.0,0.0,0.0
confirmation-074,dg014,1,0.0,0.0,0.0,-0.0010548523206751054
confirmation-075,dg006,1,0.3333333333333333,-0.0010548523206751054,0.16666666666666666,0.0
confirmation-076,dg006,1,0.0,0.0,0.0,0.0
confirmation-077,dg013,1,-0.006329113924050633,-0.006329113924050633,-0.004219409282700422,-0.017932489451476793
confirmation-078,dg013,1,0.0,0.0,0.0,0.0
confirmation-079,dg015,1,0.3291139240506329,0.0,0.0,0.0
confirmation-080,dg015,1,0.0,0.0,0.0,0.0
