position,loop,layers,lens,target,n_items,rank_kl_retained,top1_agreement,top1_ci_low,top1_ci_high,actual_token_hit10,actual_token_hit10_ci_low,actual_token_hit10_ci_high,actual_token_hit100,actual_token_hit100_ci_low,actual_token_hit100_ci_high,actual_token_mrr,actual_token_mrr_ci_low,actual_token_mrr_ci_high,actual_token_mean_log10_rank,actual_token_mean_log10_rank_ci_low,actual_token_mean_log10_rank_ci_high,kl_lens_to_actual,kl_lens_to_actual_ci_low,kl_lens_to_actual_ci_high
-1,1,48,Logit lens,actual_final_exit,148,True,0.4527027027027027,0.3716216216216215,0.5337837837837837,0.831081081081081,0.7702702702702702,0.8918918918918918,0.9594594594594594,0.9256756756756755,0.9864864864864864,0.5880091139060676,0.5236836621387742,0.6520674991642746,0.47317818657191413,0.3749533398339285,0.5780087805540208,3.8278543949127197,3.5072454521206766,4.149639551002789
-1,2,1-47,Local J-Lens,actual_current_exit,148,True,0.06986774008050602,0.05391029327199535,0.0879815986198965,0.16259344450833813,0.13585393904542842,0.1916331224841863,0.3427257044278321,0.3057755894192064,0.3813973548016102,0.10230053108946566,0.08349454677804989,0.1230039370925575,2.4996529337604168,2.385222921096878,2.6112653328742184,7.596118927001953,6.957124755914148,8.24666250472939
-1,2,1-47,Local J-Lens,actual_final_exit,148,True,0.05793559516963774,0.04269695227142034,0.07561817136285218,0.14462334675100633,0.11845888441633122,0.1730915756181711,0.3162737205290397,0.27961112708453134,0.3546614433582516,0.08819650839388303,0.07025143810814102,0.10835561721274031,2.5661630363229575,2.4484265909965073,2.6817117915164563,10.25158405303955,9.583759644345657,10.937831827152419
-1,2,1-47,Final J-Lens,actual_current_exit,148,False,0.038384128809660724,0.023001725129384705,0.055635422656699254,,,,,,,,,,,,,,,
-1,2,1-47,Final J-Lens,actual_final_exit,148,True,0.03536515238642898,0.02055779183438758,0.05218516388729154,0.16173087981598622,0.12564692351926396,0.1993962047153537,0.36227717078780913,0.3129672225416906,0.41201840138010354,0.07826619153330347,0.058387329287208155,0.10009067343511178,2.4894734230189752,2.338962235209918,2.639126904252042,10.404511451721191,10.093911865273036,10.709702429980846
-1,2,1-47,Logit lens,actual_current_exit,148,False,0.12478435882691202,0.10293271995399651,0.14879240943070726,,,,,,,,,,,,,,,
-1,2,1-47,Logit lens,actual_final_exit,148,True,0.10034502587694076,0.07849338700402529,0.12478435882691201,0.2476998274870615,0.21449108683151236,0.28205865439907996,0.43185738930419776,0.39850488786659,0.4657849338700403,0.15211591909847616,0.12740539877374646,0.17876803833860486,2.234627059356987,2.1164299720125395,2.35125986580717,8.083779335021973,7.75184403005484,8.418502694610003
-1,2,41-47,Local J-Lens,actual_current_exit,148,True,0.3185328185328183,0.271235521235521,0.3677606177606175,0.5608108108108109,0.5048262548262549,0.6167953667953667,0.7509652509652509,0.6998069498069497,0.801158301158301,0.4027411541323014,0.35424046864691744,0.4522429095392791,1.1682698725131875,1.012607488634251,1.3298504122975912,5.191868782043457,4.696695493755711,5.688721457994668
-1,2,41-47,Local J-Lens,actual_final_exit,148,True,0.2635135135135134,0.2162162162162161,0.31274131274131256,0.5009652509652509,0.4469111969111969,0.555984555984556,0.747104247104247,0.6978764478764479,0.7953667953667953,0.34492238456557095,0.2975573685832455,0.39382008522146755,1.2280981954470085,1.08550227288033,1.372871686514795,6.626572608947754,6.012322055681835,7.241677048991157
-1,2,41-47,Final J-Lens,actual_current_exit,148,False,0.06177606177606177,0.03185328185328185,0.09652509652509654,,,,,,,,,,,,,,,
-1,2,41-47,Final J-Lens,actual_final_exit,148,True,0.058880308880308874,0.028957528957528955,0.09362934362934364,0.29440154440154437,0.22876447876447875,0.36196911196911197,0.5888030888030887,0.5135135135135136,0.6621862934362914,0.13326102386275543,0.09760515612578827,0.17209261009999488,1.8705429188238456,1.679995576564614,2.066179942216869,9.575187683105469,9.182207280719604,9.966101401883202
-1,2,41-47,Logit lens,actual_current_exit,148,False,0.44305019305019305,0.38320463320463294,0.5038610038610036,,,,,,,,,,,,,,,
-1,2,41-47,Logit lens,actual_final_exit,148,True,0.33976833976833964,0.28088803088803077,0.4005791505791505,0.6361003861003861,0.5762548262548262,0.694015444015444,0.9034749034749033,0.8696911196911196,0.9343629343629343,0.4442756771124035,0.38927132921590013,0.5005534921883379,0.8049839310605459,0.6966159792014495,0.9185332752095765,4.35507869720459,3.889781038241612,4.840142890659941
-1,2,41-48,Local J-Lens,actual_current_exit,148,True,0.40371621621621623,0.36233108108108086,0.44679054054054035,0.6157094594594594,0.566722972972973,0.6646959459459459,0.7820945945945946,0.7373310810810809,0.8260135135135134,0.47739850986576376,0.43496041006605274,0.5207125458468691,1.022236138449039,0.8860315525549697,1.1636191107603924,4.5428853034973145,4.109608528931701,4.977631225973066
-1,2,41-48,Local J-Lens,actual_final_exit,148,True,0.3217905405405405,0.27618243243243246,0.3682432432432431,0.5523648648648649,0.5025337837837838,0.6021959459459459,0.7778716216216216,0.7339527027027027,0.8201013513513514,0.40191528999051035,0.3576759275586505,0.446697270416776,1.1004192638639598,0.9742617018645775,1.2282939727230102,5.879129886627197,5.345064555204197,6.415632825833116
-1,2,41-48,Final J-Lens,actual_current_exit,148,False,0.05574324324324324,0.027871621621621625,0.08783783783783784,,,,,,,,,,,,,,,
