model,seed,task,method_or_contrast,source_index,pass_one_based,physical_block_one_based,native_pass_end,ouro_identity_reference,within_pass_coda_intervention,own,control,excess
ouro,fixed,multihop,raw,156,4,13,False,False,False,0.022727272727272728,0.003055487027671559,0.01967178569960116
ouro,fixed,multihop,raw,157,4,14,False,False,False,0.06818181818181818,0.0035643065663418434,0.06461751161547634
ouro,fixed,multihop,raw,158,4,15,False,False,False,0.10227272727272728,0.006108404259693268,0.09616432301303401
ouro,fixed,multihop,raw,159,4,16,False,False,False,0.17045454545454544,0.006121332308577899,0.16433321314596752
ouro,fixed,multihop,raw,160,4,17,False,False,False,0.23863636363636365,0.00852424938245834,0.2301121142539052
ouro,fixed,multihop,raw,161,4,18,False,False,False,0.2727272727272727,0.00817467810344337,0.2645525946238293
ouro,fixed,multihop,raw,162,4,19,False,False,False,0.3181818181818182,0.008172108307793519,0.31000970987402454
ouro,fixed,multihop,raw,163,4,20,False,False,False,0.3522727272727273,0.007825106824428397,0.34444762044829874
ouro,fixed,multihop,raw,164,4,21,False,False,False,0.36363636363636365,0.008847964563704052,0.35478839907265947
ouro,fixed,multihop,raw,165,4,22,False,False,False,0.32954545454545453,0.009017492005958765,0.32052796253949567
ouro,fixed,multihop,raw,166,4,23,False,False,False,0.2840909090909091,0.006624933185313104,0.27746597590559596
ouro,fixed,multihop,raw,167,4,24,False,False,False,0.18181818181818182,0.005607294107972532,0.17621088771020926
ouro,fixed,multihop,raw,168,4,25,False,False,False,0.2159090909090909,0.00952117195332935,0.2063879189557615
ouro,fixed,multihop,raw,169,4,26,False,False,False,0.2159090909090909,0.014632574571516233,0.2012765163375746
ouro,fixed,multihop,raw,170,4,27,False,False,False,0.22727272727272727,0.01496407821034687,0.21230864906238034
ouro,fixed,multihop,raw,171,4,28,False,False,False,0.19318181818181818,0.014121185237196097,0.17906063294462207
ouro,fixed,multihop,raw,172,4,29,False,False,False,0.17045454545454544,0.013951578724305998,0.15650296673023945
ouro,fixed,multihop,raw,173,4,30,False,False,False,0.14772727272727273,0.013951578724306003,0.13377569400296674
ouro,fixed,multihop,raw,174,4,31,False,False,False,0.11363636363636363,0.010713557134859714,0.10292280650150394
ouro,fixed,multihop,raw,175,4,32,False,False,False,0.09090909090909091,0.009014922210308913,0.08189416869878198
ouro,fixed,multihop,raw,176,4,33,False,False,False,0.10227272727272728,0.010374344109079526,0.09189838316364775
ouro,fixed,multihop,raw,177,4,34,False,False,False,0.07954545454545454,0.009354135236089106,0.07019131930936544
ouro,fixed,multihop,raw,178,4,35,False,False,False,0.07954545454545454,0.00986038497910954,0.069685069566345
