loop,physical_layer,probe,logit_lens,j_lens,logit_lens_one_form,j_lens_one_form
3,25,0.13020833333333334,0.010416666666666666,0.043402777777777776,0.015625,0.046875
3,26,0.1527777777777778,0.015625,0.043402777777777776,0.019097222222222224,0.036458333333333336
3,27,0.22916666666666666,0.010416666666666666,0.034722222222222224,0.010416666666666666,0.029513888888888888
3,28,0.265625,0.012152777777777778,0.036458333333333336,0.017361111111111112,0.026041666666666668
3,29,0.2569444444444444,0.017361111111111112,0.052083333333333336,0.019097222222222224,0.029513888888888888
3,30,0.2534722222222222,0.015625,0.052083333333333336,0.015625,0.027777777777777776
3,31,0.24131944444444445,0.010416666666666666,0.0625,0.017361111111111112,0.027777777777777776
3,32,0.23958333333333334,0.010416666666666666,0.057291666666666664,0.015625,0.03125
3,33,0.2673611111111111,0.012152777777777778,0.046875,0.015625,0.029513888888888888
3,34,0.2569444444444444,0.010416666666666666,0.04513888888888889,0.012152777777777778,0.026041666666666668
3,35,0.265625,0.010416666666666666,0.046875,0.010416666666666666,0.024305555555555556
3,36,0.2673611111111111,0.008680555555555556,0.043402777777777776,0.010416666666666666,0.026041666666666668
3,37,0.2621527777777778,0.012152777777777778,0.03993055555555555,0.015625,0.036458333333333336
3,38,0.2916666666666667,0.013888888888888888,0.020833333333333332,0.013888888888888888,0.026041666666666668
3,39,0.2847222222222222,0.010416666666666666,0.020833333333333332,0.015625,0.03125
3,40,0.3020833333333333,0.012152777777777778,0.013888888888888888,0.013888888888888888,0.029513888888888888
3,41,0.2881944444444444,0.015625,0.027777777777777776,0.017361111111111112,0.029513888888888888
3,42,0.2378472222222222,0.019097222222222224,0.015625,0.019097222222222224,0.03298611111111111
3,43,0.2378472222222222,0.012152777777777778,0.029513888888888888,0.012152777777777778,0.03125
3,44,0.21180555555555555,0.010416666666666666,0.04513888888888889,0.010416666666666666,0.03125
3,45,0.20833333333333334,0.010416666666666666,0.036458333333333336,0.010416666666666666,0.036458333333333336
3,46,0.21006944444444445,0.017361111111111112,0.03993055555555555,0.017361111111111112,0.03819444444444445
3,47,0.19791666666666666,0.022569444444444444,0.07118055555555555,0.022569444444444444,0.052083333333333336
3,48,0.1909722222222222,0.015625,0.0920138888888889,0.015625,0.07465277777777778
4,1,0.21354166666666666,0.03819444444444445,0.03298611111111111,0.03819444444444445,0.029513888888888888
4,2,0.2309027777777778,0.029513888888888888,0.04513888888888889,0.019097222222222224,0.04513888888888889
4,3,0.2569444444444444,0.027777777777777776,0.022569444444444444,0.03298611111111111,0.029513888888888888
4,4,0.22743055555555555,0.03298611111111111,0.046875,0.013888888888888888,0.03993055555555555
4,5,0.21875,0.05381944444444445,0.04861111111111111,0.017361111111111112,0.03819444444444445
4,6,0.24479166666666666,0.057291666666666664,0.043402777777777776,0.017361111111111112,0.03298611111111111
4,7,0.24305555555555555,0.03298611111111111,0.043402777777777776,0.022569444444444444,0.03298611111111111
4,8,0.21354166666666666,0.022569444444444444,0.043402777777777776,0.024305555555555556,0.034722222222222224
4,9,0.2222222222222222,0.034722222222222224,0.043402777777777776,0.029513888888888888,0.03819444444444445
4,10,0.2152777777777778,0.05381944444444445,0.04861111111111111,0.03298611111111111,0.041666666666666664
4,11,0.21006944444444445,0.04513888888888889,0.04513888888888889,0.03125,0.04513888888888889
4,12,0.2204861111111111,0.043402777777777776,0.04513888888888889,0.027777777777777776,0.043402777777777776
4,13,0.19791666666666666,0.03125,0.04513888888888889,0.026041666666666668,0.03993055555555555
4,14,0.046875,0.08506944444444445,0.034722222222222224,0.04861111111111111,0.03298611111111111
4,15,0.0,0.0625,0.03819444444444445,0.046875,0.03125
4,16,0.0,0.06944444444444445,0.027777777777777776,0.041666666666666664,0.03298611111111111
4,17,0.0,0.057291666666666664,0.022569444444444444,0.052083333333333336,0.026041666666666668
4,18,0.0,0.0625,0.03993055555555555,0.059027777777777776,0.036458333333333336
4,19,0.003472222222222222,0.1597222222222222,0.05381944444444445,0.15104166666666666,0.04513888888888889
4,20,0.0625,0.3107638888888889,0.046875,0.2777777777777778,0.036458333333333336
4,21,0.11284722222222222,0.24131944444444445,0.052083333333333336,0.21354166666666666,0.03819444444444445
4,22,0.10590277777777778,0.1701388888888889,0.06770833333333333,0.14756944444444445,0.057291666666666664
4,23,0.09895833333333333,0.1597222222222222,0.07291666666666667,0.15104166666666666,0.06770833333333333
